LearningRate,Timestep,KendallTau,MAP,a
0.001,8,0.750379278004156,0.2131090186855114,1.7
0.001,9,0.6997266244547591,0.24264215624924668,1.7
0.001,7,0.7940914512531916,0.3048359803405547,1.8
0.001,8,0.7592092176082795,0.25102578030541667,1.8
0.001,9,0.6535240022087386,0.1900973890724215,1.8
0.001,7,0.8198437641129613,0.42781299974090353,1.9
0.001,8,0.7426211011879666,0.24722882169572885,1.9
0.001,9,0.7212416336854989,0.25025807340702294,1.9
0.0005,7,0.771252563424749,0.472943136563607,1.5
0.0005,8,0.7906094212552875,0.473501379746216,1.5
0.0005,9,0.7875257538257172,0.6698799880814693,1.5
0.0005,7,0.7891397074571165,0.589635266575589,1.1
0.0005,8,0.8203453965459807,0.5403278351944926,1.1
0.0005,9,0.7560358348868713,0.5143151695866995,1.1
0.0005,7,0.7880321148498012,0.587425670615993,1.2
0.0005,8,0.8176642105464419,0.5107868287387887,1.2
0.0005,9,0.7398760067761657,0.4248855289615934,1.2
0.0005,7,0.7702087050269021,0.4586972429306902,1.3
0.0005,8,0.8112194541674526,0.4742657594413426,1.3
0.0005,9,0.7489073827899,0.4404684518881214,1.3
0.0005,7,0.7776229546337561,0.6018678922320864,1.4
0.0005,8,0.8074895415642791,0.45273617692317886,1.4
0.0005,9,0.7424276182354601,0.4238925115224701,1.4
0.0005,7,0.763935363335638,0.47040840809338624,1.0
0.0005,8,0.8145620787183253,0.5399507612880069,1.0
0.0005,9,0.7592576355469052,0.5333514602310361,1.0
0.0005,7,0.779506294209778,0.592523404161238,1.6
0.0005,8,0.79064748230859,0.4702550204630122,1.6
0.0005,9,0.7602281717051447,0.5112190912096657,1.6
0.0005,7,0.7826337395875522,0.5970004554611186,1.7
0.0005,8,0.7729744775910891,0.45684271536257426,1.7
0.0005,9,0.7580022942986584,0.4866596855108618,1.7
0.0005,7,0.7673333132087911,0.6018678922320864,1.8
0.0005,8,0.7705628165705245,0.3952635136246914,1.8
0.0005,9,0.7812666573100372,0.757550296554126,1.8
0.0005,7,0.7764775936458124,0.5476068747711716,1.9
0.0005,8,0.7587251346806082,0.3399904186200896,1.9
0.0005,9,0.7584476566259303,0.4095383543071462,1.9
0.0001,7,0.8415510283970499,0.33623578498838935,1.5
0.0001,8,0.7635622496170857,0.24565222681986187,1.5
0.0001,9,0.726147905101375,0.17590048980102743,1.5
0.0001,7,0.8354086654469522,0.33623578498838935,1.1
0.0001,8,0.7585268864337912,0.23382335440845042,1.1
0.0001,9,0.7185610349292985,0.1650116646764891,1.1
0.0001,7,0.8372132141629064,0.3046842384792202,1.2
0.0001,8,0.7732645244611399,0.24853210490522076,1.2
0.0001,9,0.7242582482885,0.17382862477649755,1.2
0.0001,7,0.8401983707145864,0.33623578498838935,1.3
0.0001,8,0.7780194096108483,0.24617192028190382,1.3
0.0001,9,0.7295947366975118,0.19083283720874017,1.3
0.0001,7,0.837084943965528,0.32555449078678833,1.4
