LearningRate,Timestep,KendallTau,MAP,a
0.001,9,0.7036599366234602,0.30909158409516707,1.6
0.001,7,0.7873207501054492,0.8684580663879465,1.7
0.001,8,0.7656900098128027,0.8481834174316667,1.7
0.001,9,0.7010174807658227,0.30851199126485934,1.7
0.001,7,0.786102953094078,0.8718538126054061,1.8
0.001,8,0.7670586298130937,0.8494367458499393,1.8
0.001,9,0.6985736923518062,0.3023393164270699,1.8
0.001,7,0.7833398590503128,0.8755851234134313,1.9
0.001,8,0.7653618064064662,0.8633505549355597,1.9
0.001,9,0.6931665065563232,0.3018306820451282,1.9
0.0005,7,0.807035757528575,0.6625223093187649,1.5
0.0005,8,0.7853951018942549,0.7818849565358467,1.5
0.0005,9,0.741707726892932,0.3144000628435632,1.5
0.0005,7,0.8059987946412658,0.6717796776782854,1.1
0.0005,8,0.7952439643671103,0.7749101058975995,1.1
0.0005,9,0.7602474159518762,0.3919569965904385,1.1
0.0005,7,0.8073761974992719,0.6694540398439839,1.2
0.0005,8,0.7934342566138377,0.8059303343321188,1.2
0.0005,9,0.7577197209073656,0.3736440366803668,1.2
0.0005,7,0.8079527252510988,0.6657999040417303,1.3
0.0005,8,0.790790265272563,0.8100778592191243,1.3
0.0005,9,0.7525091947732032,0.36082543323393,1.3
0.0005,7,0.8083069418177083,0.6729636529392057,1.4
0.0005,8,0.7871179698187776,0.7939252897535025,1.4
0.0005,9,0.7479619966622028,0.34267252088376077,1.4
0.0005,7,0.8046262145854317,0.6923535586167172,1.0
0.0005,8,0.797897986709532,0.7930962586405071,1.0
0.0005,9,0.7645329259210749,0.4092513802431721,1.0
0.0005,7,0.8030606416685566,0.6995341920018824,1.6
0.0005,8,0.784138152375393,0.8589804804276121,1.6
0.0005,9,0.7394072860776376,0.3246132819131106,1.6
0.0005,7,0.8018222906954505,0.6717978852702127,1.7
0.0005,8,0.7817860324544399,0.8073727221551652,1.7
0.0005,9,0.7370813113559594,0.3067256746895718,1.7
0.0005,7,0.8016067869390509,0.674357961422062,1.8
0.0005,8,0.7833673654871394,0.7717987775304881,1.8
0.0005,9,0.7339770646569455,0.3117753849311868,1.8
0.0005,7,0.7979509119216492,0.6637741886545925,1.9
0.0005,8,0.7827805362872375,0.7683580376041765,1.9
0.0005,9,0.7290895188742332,0.3056331174617999,1.9
