LearningRate,Timestep,KendallTau,MAP,a
0.0001,9,0.713791076,0.417301081,1.1
0.0001,7,0.730196448,0.418524758,1.2
0.0001,8,0.753375035,0.432407284,1.2
0.0001,9,0.727109235,0.441829251,1.2
0.0001,7,0.748340072,0.429306905,1.3
0.0001,8,0.757754919,0.446427136,1.3
0.0001,9,0.735357396,0.426469894,1.3
0.0001,7,0.753185607,0.443682859,1.4
0.0001,8,0.767051909,0.487809425,1.4
0.0001,9,0.736028552,0.458989234,1.4
0.0001,7,0.702403898,0.332812518,1
0.0001,8,0.731505415,0.414114462,1
0.0001,9,0.716303175,0.401514599,1
0.0001,7,0.753642411,0.470300563,1.6
0.0001,8,0.775333438,0.554978269,1.6
0.0001,9,0.770596509,0.525049661,1.6
0.0001,7,0.743205069,0.410455841,1.7
0.0001,8,0.760116281,0.500669901,1.7
0.0001,9,0.770644774,0.52299304,1.7
0.0001,7,0.742302453,0.414024351,1.8
0.0001,8,0.754028001,0.551994622,1.8
0.0001,9,0.774457955,0.500265537,1.8
0.0001,7,0.750807921,0.570625287,1.9
0.0001,8,0.744453383,0.554122403,1.9
0.0001,9,0.758288982,0.602020656,1.9
