Timestep,KendallTau,MAP,a
7,0.6909447056874325,0.368286208484676,1.0
8,0.6459304348877912,0.32923660337085936,1.0
8,0.6650659024403225,0.2839709258567803,1.1
7,0.7258690923224808,0.43900184058673386,1.1
8,0.703670026519337,0.4634049871180086,1.2
7,0.7380572414015535,0.4497055477758132,1.2
7,0.7530431630770364,0.38623708741487633,1.3
8,0.7077093810156755,0.3855664663189135,1.3
8,0.7196653418766694,0.3125440394430315,1.4
7,0.7484617216042989,0.3160338964539046,1.4
8,0.7358861811912752,0.28989800481719086,1.5
7,0.750351047322422,0.33713157409011313,1.5
7,0.7554399730586135,0.3528124151154601,1.6
8,0.74806757263332,0.32068584076516854,1.6
7,0.7613304840551619,0.45176234257464465,1.7
8,0.7527688929696487,0.32314331622401465,1.7
7,0.7481822005194876,0.3190450764732999,1.8
8,0.7526595295362154,0.3961322034046471,1.8
