Timestep,KendallTau,MAP,a
7,0.8164591324933523,0.9699021404262687,1.0
8,0.8275782958925897,0.9771845402940305,1.0
9,0.8160553130723012,0.5202991129927471,1.0
7,0.8188368647980614,0.9798888646176346,1.1
9,0.8089195841329563,0.5155116032929941,1.1
8,0.8284050154479454,0.9718380230190184,1.1
8,0.8286983641626646,0.9716788801883907,1.2
7,0.8201179133248181,0.9743858450706984,1.2
9,0.800605326484991,0.41478235086706944,1.2
7,0.8203038108402111,0.9687872071571695,1.3
9,0.7924705028882406,0.36160496355186367,1.3
8,0.8270357322071101,0.9663217975630628,1.3
9,0.7836593112302482,0.28005516539611064,1.4
7,0.8224004738616678,0.9573822594325171,1.4
8,0.8258331333087302,0.9727404811076307,1.4
8,0.8220660002005834,0.964866147926767,1.5
7,0.8209513777841224,0.976505419169036,1.5
9,0.7738713381791772,0.24020607076176953,1.5
7,0.8193025357933017,0.9732133718362804,1.6
8,0.8207310799465528,0.9685927901960103,1.6
9,0.7655908752780004,0.24169851510540627,1.6
7,0.8165908242465565,0.9681820080470049,1.7
8,0.8183492441566558,0.9612862107406625,1.7
9,0.7609012487319449,0.23893831975232455,1.7
7,0.8172652984662154,0.9661283711854277,1.8
8,0.8191644235201221,0.9593137288584912,1.8
9,0.7558581818561082,0.23774704978379496,1.8
