Timestep,KendallTau,MAP,a
7,0.8380199680533797,0.5229871762423945,1.0
8,0.8239416693743841,0.4179553728189484,1.0
9,0.8052689325972983,0.6254858733695174,1.0
7,0.8390953610325765,0.49799354208313185,1.1
9,0.814471862319433,0.5471551805387622,1.1
8,0.8297293768236665,0.40399677125291733,1.1
8,0.8354234503132238,0.3824213431705511,1.2
7,0.8514118677914141,0.5378177037446894,1.2
9,0.8114673739541768,0.6512971017895901,1.2
7,0.8458194992463678,0.475641744217979,1.3
9,0.7988852917349458,0.5876259389674847,1.3
8,0.8328101197571001,0.3824213431705511,1.3
9,0.8022565057303571,0.4976964637497051,1.4
7,0.8501186363792647,0.5229871762423945,1.4
8,0.8297545731787015,0.4191087747789365,1.4
8,0.8156207870533906,0.38856320642217057,1.5
7,0.8523631737218409,0.5229871762423945,1.5
9,0.7866883768008781,0.6057109445948845,1.5
7,0.8544421220478949,0.5560520633586234,1.6
8,0.7983851968066975,0.44913643533122444,1.6
9,0.800980835895725,0.5134717694128692,1.6
7,0.8447392581922584,0.47435318588210695,1.7
8,0.7912209128996939,0.40711592772616473,1.7
9,0.7827469758673391,0.5489889887532545,1.7
7,0.8442286700212794,0.5224509243408004,1.8
8,0.7918220224521048,0.3752847772593777,1.8
9,0.7757066317937861,0.5021904151175698,1.8
7,0.8506502951032965,0.5334688401723343,1.9
8,0.7660313101677736,0.395120477389818,1.9
9,0.7693925733800868,0.4368785058131176,1.9
